trial_number,mean_r2,best_r2_so_far,state
0,0.9995593799253083,0.9995593799253083,COMPLETE
1,0.9997489509579726,0.9997489509579726,COMPLETE
2,0.9997378666966868,0.9997489509579726,COMPLETE
3,0.9995147682441781,0.9997489509579726,COMPLETE
4,0.9993954137335122,0.9997489509579726,COMPLETE
5,0.9996728883949337,0.9997489509579726,COMPLETE
6,0.9995395387124567,0.9997489509579726,COMPLETE
7,0.999567187439626,0.9997489509579726,COMPLETE
8,0.9996364843646788,0.9997489509579726,COMPLETE
9,0.9991679983744604,0.9997489509579726,COMPLETE
10,0.9996702490436453,0.9997489509579726,COMPLETE
11,0.9992584508341255,0.9997489509579726,COMPLETE
12,0.9996388407230958,0.9997489509579726,COMPLETE
13,0.9996344859460768,0.9997489509579726,COMPLETE
14,0.9997300914097543,0.9997489509579726,COMPLETE
15,0.9997667590287087,0.9997667590287087,COMPLETE
16,0.9997379653327794,0.9997667590287087,COMPLETE
17,0.999726128709459,0.9997667590287087,COMPLETE
18,0.9996042743966415,0.9997667590287087,COMPLETE
19,0.9996947564983438,0.9997667590287087,COMPLETE
20,0.9997452724796888,0.9997667590287087,COMPLETE
21,0.999626393390848,0.9997667590287087,COMPLETE
22,0.9996851332687298,0.9997667590287087,COMPLETE
23,0.9993717685700597,0.9997667590287087,COMPLETE
24,0.9997290698945138,0.9997667590287087,COMPLETE
25,0.9997432248734777,0.9997667590287087,COMPLETE
26,0.9997519129327201,0.9997667590287087,COMPLETE
27,0.9997496230737599,0.9997667590287087,COMPLETE
28,0.9997477072709866,0.9997667590287087,COMPLETE
29,0.9996658166865096,0.9997667590287087,COMPLETE
30,0.9997190474135873,0.9997667590287087,COMPLETE
31,0.9997105824128815,0.9997667590287087,COMPLETE
32,0.9997723530097067,0.9997723530097067,COMPLETE
33,0.9997660492308166,0.9997723530097067,COMPLETE
34,0.9997774640216,0.9997774640216,COMPLETE
35,0.9997697333784918,0.9997774640216,COMPLETE
36,0.9997278486279718,0.9997774640216,COMPLETE
37,0.9997312967298889,0.9997774640216,COMPLETE
38,0.9940936654276454,0.9997774640216,COMPLETE
39,0.9997296821951578,0.9997774640216,COMPLETE
40,0.9605641066110671,0.9997774640216,COMPLETE
41,0.9997475501749209,0.9997774640216,COMPLETE
42,0.9997702381326825,0.9997774640216,COMPLETE
43,0.9996970396324556,0.9997774640216,COMPLETE
44,0.9997396809651917,0.9997774640216,COMPLETE
45,0.9993229432002728,0.9997774640216,COMPLETE
46,0.9997581240297284,0.9997774640216,COMPLETE
47,0.9997309922299504,0.9997774640216,COMPLETE
48,0.9996118636185614,0.9997774640216,COMPLETE
49,0.9994734549984162,0.9997774640216,COMPLETE
50,0.9996993006864449,0.9997774640216,COMPLETE
51,0.9997597359781663,0.9997774640216,COMPLETE
52,0.9998011891602625,0.9998011891602625,COMPLETE
53,0.9997630255688398,0.9998011891602625,COMPLETE
54,0.9997699670280845,0.9998011891602625,COMPLETE
55,0.999761548415161,0.9998011891602625,COMPLETE
56,0.9996703981598418,0.9998011891602625,COMPLETE
57,0.9997622190152586,0.9998011891602625,COMPLETE
58,0.9996233450908376,0.9998011891602625,COMPLETE
59,0.9996989343880809,0.9998011891602625,COMPLETE
